productName,justificationType,count
Adobe Flash Player,No_change,19
Unknown,Unimportant,15
Microsoft Windows,Unimportant,13
Microsoft Internet Explorer,Unimportant,10
Microsoft Windows,No_change,9
Adobe AIR,No_change,7
Microsoft Office,No_change,7
Microsoft Internet Explorer,No_change,6
Unknown,No_change,6
Microsoft Office,Unimportant,6
Google Chrome,No_change,5
Microsoft Windows,Unjustified,5
Adobe Acrobat,No_change,4
Adobe Acrobat Reader,No_change,4
Linux,No_change,4
Adobe Flash Player,Unimportant,4
Unknown,Unjustified,4
Microsoft Internet Explorer,Justified,3
Microsoft Lync,No_change,3
Oracle Java,No_change,3
Apple,Unimportant,3
Microsoft Office,Justified,2
Microsoft SharePoint,Justified,2
Unknown,Justified,2
Apple Java,No_change,2
Attachmate Reflection,No_change,2
IBM Java,No_change,2
Macromedia Flash,No_change,2
Microsoft SharePoint,No_change,2
Microsoft Word,No_change,2
Mozilla,No_change,2
Skype,No_change,2
Adobe Acrobat,Unimportant,2
Adobe Acrobat Reader,Unimportant,2
Microsoft Edge,Unimportant,2
Microsoft SharePoint,Unimportant,2
Oracle Java,Unimportant,2
Microsoft Office,Unjustified,2
Adobe AIR,Justified,1
Adobe Flash,Justified,1
Adobe Flash Player,Justified,1
Atlassian Confluence,Justified,1
IBM,Justified,1
Microsoft Outlook,Justified,1
Microsoft Silverlight,Justified,1
Microsoft Windows,Justified,1
Microsoft Word,Justified,1
Oracle Java,Justified,1
Adobe Reader,No_change,1
BEA Systems JRockit,No_change,1
IBM,No_change,1
Microsoft PowerPoint,No_change,1
Microsoft Silverlight,No_change,1
RIM,No_change,1
Adobe AIR,Unimportant,1
Adobe Reader,Unimportant,1
Apple Java,Unimportant,1
Attachmate Reflection,Unimportant,1
Google Chrome,Unimportant,1
IBM,Unimportant,1
IBM Java,Unimportant,1
IBM WebSphere,Unimportant,1
Linux,Unimportant,1
Microsoft .NET,Unimportant,1
Microsoft Biztalk Server,Unimportant,1
Microsoft Commerce Server,Unimportant,1
Microsoft Excel,Unimportant,1
Microsoft PowerShell,Unimportant,1
Microsoft SQL Server,Unimportant,1
Microsoft Visual Basic,Unimportant,1
Microsoft Visual Fox Pro,Unimportant,1
Microsoft Visual Studio,Unimportant,1
Microsoft Word,Unimportant,1
Mozilla,Unimportant,1
IBM,Unjustified,1
Microsoft Excel,Unjustified,1
Microsoft Internet Explorer,Unjustified,1
Microsoft PowerPoint,Unjustified,1
Microsoft SharePoint,Unjustified,1
Microsoft Visio Viewer,Unjustified,1
Microsoft Word,Unjustified,1
Oracle Java,Unjustified,1
RARLAB,Unjustified,1
